comment,language,sentiment
true to the description,English,positive
good sound,English,positive
ready to install steady boss,English,positive
efficiency of course not comparable to ceramic bearings generally the bearings are very smooth but not slippery and cannot be compared with ceramic bearings,English,positive
safely arrive with good condition,English,positive
great for long rides bottle holds alot of water will order from this shop again,English,positive
been using it for family time cycling every weekend,English,positive
product quality good true to description true good quality good product friendly price will continue to support,English,positive
beautiful very fast delivery,English,positive
usage good quality good,Mixed/Other,positive
usage good beautiful,English,positive
best thank you for the free bike bottle holder best thank you for the free bike bottle holder best thank you for the free bike bottle holder best thank you for the free bike bottle holder best thank you for the free bike bottle holder,English,positive
perfect,English,positive
very good product i bought it for the 3rd time to recommend to friends,English,positive
all very good received as advertised,English,positive
product quality excellent true to the description standard,English,positive
ganda ng item,Filipino,positive
not that bad act seems good already senang masuk keluar botol,Mixed/Other,positive
all are plastic hope it doesnt break but it also looks nice and worth buying,English,positive
good quality product for the price range will buy again to support the shop its very beautiful,English,positive
item as in the picture best delivery,English,positive
order received in good condition quality product,English,positive
thank you bosssfast arrived to buy kat china pon thank you200,English,positive
welcome to trusted sandakan ,Mixed/Other,positive
water bottle for sure beautiful good plastic,English,positive
item received in good condition thank you seller,English,positive
item arrived well,English,positive
usage point is rubber water does not leak quality good,English,positive
good quality received with thank you to seller and dispatch suitable for student,English,positive
product quality true to the description fast ship,Mixed/Other,positive
nice bottle cover a bit tight overall is good,English,positive
it is suitable for the price,English,positive
put it on and lol,English,positive
light and comes with a nut to attach to the bike ready,English,positive
fast delivery good product,English,positive
good price and quality,English,positive
best and economical choice highly recommended,English,positive
best item 10 out of 10,Mixed/Other,positive
true to the description ok beautiful and compact,English,positive
delivered to the shipping unit super long,English,positive
true to description yes product quality plastic quality beautiful,English,positive
temporarily ok goods will give the shop 5 stars,English,positive
product quality good true to description true,English,positive
nice item just a little slow to act,English,positive
maganda ang item at durable thank you seller,Filipino,positive
good product quality fast delivery excellent service by seller,English,positive
usage very good the material is light but strong and tight worth it,English,positive
good in packaging thanks to seller,English,positive
true to the descriptiontot product quality exactly as the model 10 points,English,positive
8pm dumating 3times na nadelay lasing pa yung driver hays pero maganda product,Filipino,positive
item has been received good product good product but especially i like the style of ship spx in the apartment area a,English,positive
good product durable plastic very satisfied with this product cheap and nice,English,positive
product quality good true to description true products are carefully packed,English,positive
nice water bottle nice color nma a bit smelly ship super fast 2 days to arrive,English,positive
product quality good true to description very true the shop comes with a screw that doesnt fit the car i dont know if its the car or the shop,English,positive
good smpi water bottle safely no less beautiful color,English,positive
thank you seller items from far away arrived quickly cheap and ok,English,positive
very good and useful item very recommended for you and i,English,positive
beautiful items all children like it thank you seller,English,positive
legit 10 out of 10,Mixed/Other,positive
product quality ok true to description true will support the shop,English,positive
the bottle is beautiful as described a bit long the smell of plastic is a bit much but its ok,English,positive
true to the description ok product quality ok light and easy to use,English,positive
highly recommended super high quality pala nito definitely will order again soon basta sale at free shipping thanks po,Mixed/Other,positive
fast delivery item as described its easy to use too,English,positive
items next days received fast delivery,English,positive
true to the description ok product quality ok very fast delivery time product packaging is very nice and good quality,English,positive
good product fast delivery enthusiastic staff quite durable product,English,positive
product quality good true to description true to description international goods but fast delivery affordable prices,English,positive
true to description true product quality good pretty good the bottle is durable and sturdy and convenient to use the color is also beautiful,English,positive
items received successfully with the good condition n value for money n good product quality and good seller service and fast delivery recommendedthank you3,English,positive
until in good condition quality goods last night order today arrived,English,positive
true to the description ok product quality ok fast delivery reasonable price good quality exactly as described,English,positive
performance made of durable materials easy to put and remove from the cage,English,positive
good quality easy to install and works really well packaging was nice and delivery was fast,English,positive
product quality true to the description dung mau fast delivery correct model easy to use plastic water bottle,English,positive
the product arrived a few days ago and then i have installed it the product is of good quality thank you very much,English,positive
good quality fast delivery,English,positive
best the price is cheap compared to others fast delivery,English,positive
the delivery is so fast everything is ok the kids like the color nature is beautiful too thank you,English,positive
the product is definitely ok,English,positive
true to description true to description product quality good product quality is good fast delivery to order fast on order,English,positive
great quality hindi talaga madaling matanggal yung water bottle sa case nya causing gasgas abot sa water bottle pero okay lang salamat sa seller and rider,Filipino,positive
usage good material strong works well,English,positive
rock bros your the best i highly recommend this seller and shop,English,positive
received in good condition item came well packaged original product and good quality and design love it thank you seller,English,positive
true to the description beautiful vase product quality plastic quality is ok will support the shop in the future,English,positive
used goods are also ok fit snugly delivery is also well packed nothing to complain about next time i buy,English,positive
very nice fast delivery received in good condition hopefully can be last long thank you,English,positive
received in good condition good quality and the holder comes with the screws hope it lasts,English,positive
fast delivery and recieved item in good condition maganda siya at matibay,Mixed/Other,positive
usage very good product the product is exactly like the picture easy to install beautiful i recommend it,English,positive
will order again,English,positive
suitability definitely,English,positive
product as described fast delivery,English,positive
good material fast delivery thank you seller cant repeat again,English,positive
okie real pp plastic is ok for the price,English,positive
product is in perfect condition everything is there inside the package thank you seller,English,positive
good condition will try soon shipping one weekk from china thanks seller,English,positive
arrived safelythanks seller will repeat order again,English,positive
good product quality price suitable for the price it is recommended to buy it,English,positive
quality sealed bearing,English,positive
ok kaayo ni bai,Mixed/Other,positive
maganda mas maganda pa sa jowa ko,Filipino,positive
think you seller,English,positive
legit na legit,Filipino,positive
good nagustuhan ng anak ko thank you,Filipino,positive
all goods makapit pa mas lalo pumogi bike ko,Filipino,positive
malakas sya kaso isa pa ang naikabit ko,Filipino,positive
quality beautiful as advertised,English,positive
goods quality,English,positive
good packaging,English,positive
quality worth it,English,positive
performance very good,English,positive
quality 9 out of 10,Mixed/Other,positive
may small scratch pero okay syaa very nice,Filipino,positive
medyo may gasgas di naka bubble wrap bad,Filipino,negative
good salamat sa seller og sa shoppe,Filipino,positive
ok na ok original,Mixed/Other,positive
tatak original highly recommended,Mixed/Other,positive
matibay sya nagustohan ko,Filipino,positive
thank u so much,English,positive
suitability 100,Filipino,positive
original parts,English,positive
ganda super legit,Mixed/Other,positive
wow ang ganda niya,Filipino,positive
goods na goods wlang dmage,Filipino,positive
sobrang lakas goods na goods,Filipino,positive
wra freebies pero 4 parin,Filipino,positive
maganda sya made in malaysia,Filipino,positive
legit po sya tnx seller,English,positive
may gasgas pero ok nmn,Filipino,positive
goods na good,Mixed/Other,positive
ganda naligaw pa sila kuya haha,Filipino,positive
suitability very rare,English,positive
performance arrived early,English,positive
quality goods,Mixed/Other,positive
performance all goods,English,positive
arrived early good condition,English,positive
suitability perfect,English,positive
quality matibay,Filipino,positive
sana tumagal,Filipino,positive
performance good and legit,English,positive
quality swak na swak,Filipino,positive
quality solid,English,positive
quality ganda,Mixed/Other,positive
excelent quality,English,positive
performancecustomer satisfied,English,positive
legit mt200,English,positive
good condition,English,positive
goods ang quality,Mixed/Other,positive
high quality galing,Mixed/Other,positive
performance ok,English,positive
good quality po sya,Filipino,positive
ganda nya bilis dumating,Filipino,positive
nice good quality 100 performance legit,English,positive
good quality ganda,Mixed/Other,positive
suitability sulit murang mura lang,Filipino,positive
legit po salamat seller,Mixed/Other,positive
napaka sulit ty po,Filipino,positive
ganda,Filipino,positive
excellent,English,positive
smoothie,English,positive
goodshit,English,positive
reccomended,English,positive
maganda ang quality,Filipino,positive
cheap and light but maybe because its still new mybs bearing is rough again use lelame die smooth,English,positive
maganda yung quality niya at magaan siya perfect po siya kapag mahilig sa mga keychains dahil it looks so beautiful,Filipino,positive
true to the description ok product quality ok nice product,English,positive
salamat seller ang product na ito ay napakaganda at subrang tibay nya malakas umikot kasi bearing sya legit na legit talaga,Filipino,positive
efficacy good the seller shipped quickly received the product correctly no problem after using it will continue to repurchase,English,positive
received the correct product according to the desired quantity the delivery speed is very good the delivery staff is very good it is a product product from china it uses a really good delivery speed and it works well with mountains,English,positive
shipped immediately and packed safely mukhang matibay sya tamang tama to para hindi batak na batak pag umahon thank you seller ,Filipino,positive
performance should function as intended,English,positive
product quality true to description true,English,positive
its a little running smoothly he has a bearing for him,English,positive
true to description good product quality good tb dear customers to update viettels customer care and promotions choose follow viettel tiktok customer care channel at httpswwwtiktokcomviettelcskh to get the fastest information best regards,English,positive
have to be tested out yet good buy hope it will last thank you seller and rider ride seyp paynal,Mixed/Other,positive
the product is normal check the package tightly wrapped where is the damage to the product check the product is very beautiful the patience must have to look again,English,positive
product qualityn true to the description dung elephant mo ta in general this gear is durable take it out and apply cows fat glass to run,English,positive
performance ok lang naman,Filipino,positive
performance,English,positive
legit maganda,Filipino,positive
maganda ung brake,Filipino,positive
goods walang palpak,Filipino,positive
ganda salamat seller,Mixed/Other,positive
suitability good items legit,English,positive
ang gandaaa,Filipino,positive
suitability 10,Mixed/Other,positive
goods lahat,Mixed/Other,positive
performance 8 out 10,English,positive
maganda mukhang matibay,Filipino,positive
performance 9 out of 10,Mixed/Other,positive
good very nice,English,positive
thank you po,Mixed/Other,positive
excellent product,English,positive
complete items posalamat,Mixed/Other,positive
bukas ko pa ipapakabit thanks seller,Filipino,positive
napakaganda,Filipino,positive
ayos,Filipino,positive
photo and video not related to the product thank you uwu haha wow amazing related wow wow ueuw haha,English,negative
thanks seller medyo maliit sya but it looks like its comfortable,English,negative
so disappointed waste of time and money cogs teeth some are worn out some not same shape or sizes and some pointed to other directions its up to you to order or not if you dont believe me,English,negative
very poor packaging,English,negative
1 week bago dumating,Filipino,negative
ok nmn yung product walang gasgas or dents na nakita at sana improve pa ng seller ang boxing type mas maganda kase tignan kung same din yung product and box ng brand at mas maganda separate left and rigth brakes para iwas gas gas pag deniliver ayun lng sana walang tagas pag kinabit ko na sya ty seller sa mag improve kayo muah,Filipino,negative
item received in good condition but water bottle is made of cheap plastic would not use for drinking,English,positive
d maganda pagkabalot balot di naka separate puro gas gas yung item bak bak yung pintal at yung ibang part na gas gas talaga d nag iisip yung nag balot pero ok yung pagka balot lng talaga d ok buti pa si guro bata nag iisip pa,Filipino,negative
bad cover,English,negative
hindi nmn match yung bottle cage sa holder naka angat,Filipino,negative
received the product the product is shipped a little weekly personally the cushion looks much thicker than the old stuff i wear it and it looks bigger i dont know how but the beauty is full of hundreds very beautiful it will last the style and shape are very beautiful,English,negative
there are some scratches but its not big deal when it works properly as it should,English,negative
small and hard water cylinder cage difficult to put in water cylinders,English,negative
installed the parts and it worked fine braking is responsive medyo maikli lang yung brake cable sa rear when used on folding bikes item was packed on a plastic no box,Mixed/Other,negative
a small side grade for my rear derailleur since di na siya makapagshift ng ayos,Mixed/Other,negative
true to description true product quality ok the bottle has a bit of a plastic smell but not much the water frame seems to be smaller than the bottle so when you take the bottle out of the water frame it will be difficult for 1 time the rest is fine no problem,English,negative
nakakapagtaka lng shimano brand walang box then bubble wrap lng yung coverby the way ok naman item but slightly na may scratch dahil sa hindi magandang packaging nextime provide ng box dahil bago dumating sa bumili nyan ilang tao pa hahawak nyan pagpapasapasahan pa yan kaya hindi maiiwasan magkaroon ng damage minsan,Filipino,negative
the shipping is fast the packaging is rigorous and true and the price is very high a good seller worth recommending and repurchasing,English,positive
suitability testing ko muna,Filipino,negative
medyo faded yung pagkakulay ng red,Filipino,negative
okay naman yung item good performance may mga gasgas lang,Filipino,positive
medyo may scratches yung item,English,negative
each student has a set of profiles containing information about their study process called electronics study hbdt the application of contact book sll helps parents to look up information in their childs hbs to look up student information you can use the tools search on the web,English,negative
also temporary,English,negative
its telling me to continue rocking my mtb bike mga bro these days we need to be fit and age is but a number,English,negative
quality unsure,Mixed/Other,negative
matagal bago dumating,Filipino,negative
i will update later,English,negative
bilis naman ng delivery need lang mag palit ng adaptor kasi hindi kasya sa luma,Filipino,negative
okay naman sya malakas kaso may mga gasgas sya konti lang naman naman,Filipino,negative
wrong size yung isa dalawang 13tt ku yung dumating isang 11tt at 13tt,Mixed/Other,negative
pangit,Filipino,negative
the water holder does not match the bottle but can still be attached,English,negative
good grip but noisy and does not last long,English,positive
expect ko na sana na 910 days dadating pero 14 days pa dumating na hindi naman sa china galing,Filipino,negative
maganda u items kaso d kasya un bushing sa tornilyo ginawa ko nlang tinanggal ko un bushing mejo ipit lang kya dko na na pika higpitan sana tumagal,Filipino,negative
ok lang kaso hindi nka box,Filipino,negative
iii penguin can aunt advertising and aliens are especially,English,negative
quality goods din risky lang pagkabalot medyo nadisappoint lang kasi usapan namin ni seller ay ishiship niya ang order ko ng nakabox pero dumating sakin hindi niya nilagay kahit sa maliit lang na box pero okay lang ayos naman item walang issue at mabait din naman kausap si seller,Filipino,positive
thanks seller well pack very nice,English,negative
natanggap kunapo mali lang po ng punag deliveran yung nag dedeliver buti kakilala ko yung pinag deliveran,Filipino,negative
product cover,English,negative
heres my order nagustuhan ni bf kaso may gasgas daw onti pero ok na yan maganda quality fast shipping and delivery 5 stars thank you shopee at seller,Mixed/Other,negative
maigsi yung cable para ikabit sa mtb,Filipino,negative
good morning the sun is in the sky your alarm has gone off and youre due to get up and at em when its time to rise to the occasion of the day some of us need more of a push than others,English,positive
ordered 3 pcs 13 t pulleys received only two the third one is only 11t,English,negative
pic and vid not related my stock brakes are already hydraulic but its a local one its hard to bleed when its maintenance day sooo,English,negative
maganda sya kaso sana naka karton,Filipino,negative
ok naman sana original lahat pero di man lang binalot yung mga part na pede magasgasan dapat may sariling balot yung lever at caliper para di magasgasan pinag sama sa isang balot eh kaya ayun nag dikit at nagasgasan lever,Filipino,negative
4 lng binigay ko sa suitability dahil sa rear brake ko kinailangan ko ng 7 na spacer para sa dalawa kong bolts dahil sumasayad sa rotor ko yung caliper yun lng ok naman yung item legit shimano kaso walang free mount adapter anyways salamat,Filipino,negative
good nmn maganda sya kayalang hindi ganon ka smooth yung ikot nya,Mixed/Other,positive
well built mahirap kalasin kasi maganda fitments ng components comes with appropriate size spacerbushing para compatible sa rd smooth ang bearing my only issue is small play on the bearings and nauubos na agad yung pinture dahil sa friction ng chain but durability is great for the price,Mixed/Other,negative
maganda ayos authentic shimano pero walana yung orig box,Filipino,negative
quality 5,Mixed/Other,negative
just received item that took almost 1month to arrive to my addressnot the seller fault but the kex courier is so slow,English,negative
wala nga lang spacer sa pulley sana check up in nyo bago ipadala,Filipino,negative
performance not yet try,English,negative
received wrong color my order is red not black seller reply my chat and ask for sorry and make an offer thanks to all,English,negative
the smell of junk plastic is not virgin plastic,English,negative
prompt delivery,English,negative
sir bkit mali pinadala na cogs na 10 speed sa akin dalawa yung 13 speed dalawa 10 speed paki palitan nyo nman tgal naghintay tpos mali pa,Filipino,negative
salamat isang linggo ako ng hintay kaso palpak pa ang liit ng tornilyo maganda sana,Filipino,negative
very bad smells of plastic finishing is not good,English,positive
thank you sellerslow moving 2go courier almost 13 days,English,negative
will buy again but took too long 1 months,English,negative
maganda naman sia nai ride ko na din kaso may mga konting scratches sia overall maganda sia lalo na yung braking power sana mag tagal sia,Filipino,negative
genuine product quite confident quality needs time to verify,Mixed/Other,negative
haven t used it yet,English,negative
product quality it has been slightly scratched with drawing true to the descriptiontoodt,English,negative
boss paayos po sa susunod ng packaging nagasgas e,Filipino,negative
performance not yet tested,English,negative
product quality averagely the 11t round in the set is defective missing 1 tooth does not come with a pat to extend the thread the problem for the big spinning is that the shop is not attentive unsatisfied,English,negative
this is not stainless steelill put a magnet in this stem bolts and the magnet quickly attached in this bolts,English,negative
the goods have arrived and are the best items as in the order please load it later whatever,English,positive
i havent made the chance to test on rainy days or get it wet for a couple hours of riding it sure helps will butt aches,English,negative
suitabilityi dont know d ko pa na try,Filipino,negative
all goods sana may box na provide kahit hindi original box,Filipino,positive
okay naman kaso yong pang unahan parang gamit na tangos na,Filipino,negative
bigat mabigat,Filipino,negative
product quality good true to description a bit too big,English,positive
do all cranksets fit all bikes in general terms most cranksets can be fitted to a variety of bottom bracket shells though much of this compatibility depends upon the availability of suitable hardware see next section any incompatibilities that do arise are often related to the length andor diameter of the crank axle fit sa ixf yung m19,English,negative
not the exact size too loose,English,negative
antagal ng delivery almost 2 weeks,Mixed/Other,negative
shipped immediately attached nicely on my bike fits well no damage but the water bottle is quite thin overall rating is okay,English,negative
brake piston leakage good performance sana kaso merong leakage nag aabante yung piston pag ni brake tas d na bumabalik kita na hinda na kakasya yung rotor sa space ng dalawang brake pads,Filipino,positive
legit pero ang tagal bago dumating,Filipino,negative
will updates again soon on the braking performance after using this brake pads,English,negative
of course take me too long to rate seller sorry its just so i can test it well my experience is nice very good ang quality very trusted nman and na pansin ko different sa shifting and pedaling kay sa normal pulleyjockey wheel lng thank you po,Mixed/Other,positive
theres a small chip at the 11t cogs but it still performs pretty good,English,positive
ordered on the 16th received at bangkokon the 21st day well packed no damage get all the items as shown in the cover it must be aluminum not gold,English,negative
hi name thank you for waiting patiently our customer solutions officer will be happy to assist you with your concern please expect a calltext from our staff shortly thank you,English,negative
usage ordered the wrong model but kept for next time waiting for items to be sent from abroad about a week,English,negative
thank you seller matagal nga lang dumating,Filipino,negative
kulang yung inorder ko 3 inorder tapos 2 lng dumating,Filipino,negative
nagbakbak agad,Filipino,negative
manipis parang lata kulang sa spacer sa hubs kapag pinisil malambot mas makapal pa yung dati ko pudpod na nga lang ang ngipin kaya pinalitan ko im not sure kung tatagal sa long rides at trail dipa rebit make durability low,Filipino,negative
magandang quality sakto yung sukat kaso ang talaga dumating almost 1 week,Mixed/Other,negative
performance not yet used,English,negative
rarely has a supplier given us such complete cooperation we have always been able to rely on your flexibility and courteous service your staff has consistently made extra efforts to assist us in completing our projects on time,English,negative
rm0 netflix did you request to update the netflix household for your account tap to confirm this was you,English,negative
not stainless expensive,Mixed/Other,negative
eto na yung ceramic hahahaha awit parang normal lang den,Filipino,negative
a bit heavy,English,negative
dalawa order ko isa lang dumating wala ng balak ayusin ung order ko,Filipino,negative
ok naman di ko lng inasahan mas maliit sa dati kong saddle,Filipino,negative
maayos pag kakapack nya kaso ang tagal magdeliver pero ayus lang naman salamat shopee,Filipino,negative
ok naman ang brake malakas talaga kumapit legit shimano talaga medyo matagal lang dumating at paki improve naman po packaging dapat ibalot nyo separately per items para maiwasan ang gasgas,Filipino,negative
honest review hindi applicable kapag internal cable ka kase my oil mahal kpag mag pa internal ka bibilhin mopa bleeder tsaka oil malakas ang preno kapag piniga mo ng malakas kaya mag ingat ka pudpud agad gulong mo dito chat seller bago mag order english siya 1010,Filipino,negative
kulang ng fittings pero all in all okay naman sya,Filipino,negative
matagal lang na deliver abot 10 days pero okay lang,Filipino,negative
it took almost 3 weeks to deliver,English,negative
316 order ko pero 272 yun size ng dumating false advertisements,Mixed/Other,negative
product quality metal quality true to product description unused metal dont know the results yet,English,negative
salamat kahit matagal dumating,Filipino,negative
thank you seler goods yung cogs ang problema lang yung pinaka maliit na teeth may bungi sya pero ok naman po sya,Filipino,positive
usage but its coated iron quality good but the material is not stainless steel,English,positive
nice product high quality but only the delivery is a bit long with the setting it is a bit wide,English,negative
performance after 34days na deliver din agad kaso meron onting dents no box kasi legit shimano ipakabit ko na mamaya tignan natin ang resulta ng mt200 kasya naman sya sa 29er na mtbike,Filipino,negative
this brand is expensive but of good quality comes with a hexagon to screw a durable water bottle the minus point is that the bottle rack is easy to scratch the bottle,English,positive
nka cartoon sya nung dumating and secure nmn kahit d nka bubble wrap medyo may katagalan lng dumating depende cguro sa area nmn nagustuhan ko sya and tama nmn ang ibinigay ni seller sa request ko salamat seller dahil d mo ako binigo,Filipino,negative
my issue ang front brake diko ma gamit sana naman e check nyo before nyo e ship sa buyer,Filipino,negative
alms is a very noble practice on the islam side every alms we give we will definitely be given unlimited reward in fact our sins are also deleted due to that alms prophet saw says which means alms can erase sins as water extinguish fire imam tirmizi history,English,negative
suitability not yet installed to my sons mtb,English,negative
rm000 check your spaylater bill and pay before to avoid late fee charges ignore if payment has been made,English,negative
acb manager announced sad information about his father the creator of acb bank death on his personal page acb bank also posted a goodbye mr tran mong hung was born in 1953 at tien,English,positive
ayus naman kulang lang kasi wlang freebies,Filipino,negative
suitability wag kayo oorder may gasgas,Filipino,negative
matagal sya dumating sakin,Filipino,negative
makinis maputi sya pero bat ganun,Filipino,negative
mabilis na shipout kaya mabilis din na deliver 6 days lang recieved ko na yung 11t may konting alog yung bearing yung 13t okay naman hindi ko ramdam pinagkaiba sa slx rd ko parang parehas lang naman shifting kinaibahan lang siguro sealed bearing na at hindi na bushing,Filipino,negative
project idea our team group 4 proposes a helmet and bike mounted sensor for cyclistsbikers who are vulnerable to harm while riding outside the efas is an unsought good that automatically sends a message sms composed of datacurrent speed location and time to the users family contacts in case of an emergencycrash unlike the specialized angi our product can be mounted in a bikes frame for safety and security purposes for example the users bike was stolen it can be tracked when the sensor is triggered efas is a helmet and bikemounted sensor that enables cyclistsbikers to inform their family or loved ones in case of emergencycrash whenever the sensors on the helmet sense strong shockvibrations unlike existing solutions efas offers safety and security examples are crashes or bike theft,English,positive
paano to kulang nang 13t tapos wala yung lock ring nya nakaka dismaya,Filipino,negative
its to small,English,negative
ok n ok naka balot ng maayos salamat seller matagal lng nga dumating,Filipino,negative
looks like the item is a bit small m5 m6 but small,English,negative
item not stainless,English,negative
oks naman tagal lang dumating,Filipino,negative
another parpol burloloy sa bike,Mixed/Other,negative
rnox helmet mga bossmadam for sale brand new po ito pm na lang sa may interesado at para sa iba pang mga katanungan,Filipino,negative
theres a split second after the ignition catches and the radio blasts out a loud loud song from high school when time strikesand you are effervescence 17 again drinking beer on a hot hot afternoon barefoot friends and open tailgates ringing the swimming hole heedless of potential or circumstance you are fresh fresh diving headfirst against the current bubbles swirling up you break the surface and you gasp you gasp when you slip back into yourself your stalesoda self careworn and aware fingers caught between the volume and the power button your years pounding past quick as teenage heartbeats,English,negative
the package was not boxed just in thin plastic wrap this could be damage the items,English,negative
akala ko malakas ang grip ng hydraulic brake yun pala alalay din pala ang diin nya mas matigas pa yung may cable maganda overall,Filipino,negative
matagal lng kc dumating,Filipino,negative
delivery was delayed than scheduled no detailed notification shipping was not informed that it was sent must follow the item the quality is ok the error of the delivery is slow no return notifications wait a long time,English,negative
mabilis na nabilog yung ulo ng bolt kahit maayos naman yung pagka salpak nung allen key ko tamang sukat din ang gamit ko na allen may defect na siguro talaga yung bolt kaya nabilog kaagad,Filipino,negative
anung klase naman tong seller na to basta sinilid sa lagayan adi nagkiskisan mga bakal puro gasgas tuloy,Filipino,negative
may gasgas maliit pero okay lang hindi masyadong halata goods naman,Filipino,positive
usage please test first the product is exactly as ordered no damage in any way it takes about 10 days for delivery from china to thailand to the hands of the recipient the material is very good really overpriced lets try it first,English,positive
fast shipping and delivery hope this teflon coated cable is better then the normal stock cable which started to fray and break,English,negative
arrived 57 days later but its in good condition due to the bubblewrap,English,positive
your promo will expire in 3 days get 10gb of allaccess data for only p89 until 07202024 tap the just for you section of the dito app to subscribe avail now and well also extend your unused data call and text for another 30 days,English,negative
usage used to install to lock the position of the cable to be beautiful and rotate according to the shape of the cable received complete product i cant wait for the item,English,negative
mali yong pinadala,Filipino,negative
the item is good but a little bit brittle in its leather it was tested on a long ride and its seems definitely satisfying on its price,English,positive
wrong face cant be installed,English,negative
medyo matagal pero quality naman,Filipino,negative
usage medium works well at a certain level not ugly medium works well at a certain level not ugly good service shop admin responds on chinese time because the shop is in china but the delivery delivery is very slow from china you have to wait for a certain level thai shipping receives parcels and rushes to deliver quickly,English,positive
usage good very fast delivery product exactly as described well packaged good condition working life should look for a long time overall good give full stars have the opportunity to come and support new products,English,positive
grabe sira ,Filipino,negative
short rear cable,English,negative
matagal dumating pero goods ang items,Filipino,positive
miss na miss kona po sya,Filipino,negative
fast delivery repeated order would prefer black inner cable as compare to market standard silver inner cable for my bike overall look is much nicer now and the quality can feel is different,English,negative
wait a little bit really good stuff the cover can use the discount the price is satisfactory overall very satisfied great great definitely buy again anyone who doesnt really have to be afraid,English,positive
wala lng kasamang bracket,Filipino,negative
chalamet club black white 2way 100 cotton material soft sweatabsorbent machine washable heat transfer printing technology fabric weight 250gsm size s m l xl 50kg 95kg chalamet my appearance makes apride hotline 0817699995 instagram chalametvn tiktok chalametvn chalametvn localbrandv,English,negative
product quality sent wrong saddle sent wrong saddle,English,negative
tagal na dumating sira pa,Filipino,negative
pangit na reputation,English,negative
update dont buy to this shop theyre selling the nonelite version and claiming them to be elite versions i already went to 3 bike mechanics and they all say the same ayaw umakyat sa 50t na cog nakakainis,English,negative
performance diko pa nagagamit,Filipino,negative
im going to find the available by the number i go to eat snails can i go to eat vt i cant kk shop sm by hot shop p sensors for,English,negative
matagal lang talaga dumating pero all goods naman,Filipino,positive
hindi black kagaya sa pic,Filipino,negative
may gasgas,Filipino,negative
some scratches,English,negative
good product not worth buying and using,English,positive
antagal lang dumating nasa mindanao kase syempre marunong ako mag antay,Filipino,negative
medyo matagal lang ang delivery pero sulit naman legit ang product salamat seller at sa delivery personnel ang gandaaaaaaaaaa,Filipino,negative
looks legit well packed responsive naman si seller kaya lang matagal dumating not recommended kung kailangan mo na tlaga yung item,Filipino,negative
nice item hindi n nkalog ang crank ko,Filipino,negative
good but shipping is too long,English,positive
shop sin su hoa binh zalo 0388667290 cao sin su extension qh 30 60p,English,negative
kulang ang pinadalawla yung crank arm bolt ko,Filipino,negative
feel like not the best braking power shipping quite slow this time,English,negative
okay naman tagal lang dumating,Filipino,negative
efficiency high change the brakes before and after a bicycle shop to make them all together it will be more than 1500 i will buy it for myself i dont need 200 i havent installed it yet i dont know how it will work after the test is completed i hope i can have good motivation and its very cheap,English,positive
hard plastic bottle cage is sturdy and flexible easy to insert and secure in place its bottle the bottle itself can hold a larger capacity liquid overall a solid build for a plastic ware except for the flip open topcover which feels cheap in design seller delivers quickly too,English,negative
hirap naman nito,Filipino,negative
the shop prepares the goods quickly nice item exactly as advertised will support the shop,English,positive
kusankaka hot has been long apparently getinis me bfundang ahhh,Mixed/Other,negative
suitability rear cable is too short,English,negative
nice saddle but not sure if its constable or not,English,negative
kalako kasya sa ixf hindi naman pala umay,Filipino,negative
make poor quality brake cheeks thin but still slippery without grip what kind of brake,English,negative
ok yung item kaso matagal dumating pero malaki na discount 8 pesos ko lang nkuha,Filipino,negative
the water bottle is quite okie for sure but the water absorption hole is a bit small the mount is small compared to the bottle so it will be a bit difficult to put the bottle in using many bottles is scratched,English,negative
the only issue i can ever say is due to its thickness it can be hard to breathe when wearing it especially if using a fullfaced helmet,English,negative
okay sana kaso tagal dumating grabe nag text sya lagi nan idedeliver na pero di dumadating,Filipino,negative
goods vs quality but delivery is a bit long probably due to border jam,English,positive
maganda naman katulad nung nasa photo paglalake pala to di kasya saakin pero okay lang goods naman ang item,Filipino,positive
all items are complete and in good condition my only concern is it took 2 weeks and 3 days to arrive,English,positive
legit will buy again medyo matagal ang delivery kasi galing china but yung item maganda,Filipino,negative
dont buy please money will be wasted its fake seller not respond,English,negative
good and quality product just takes a little too long to deliver,English,positive
performance very nice,English,negative
not yet install latter for comments,English,negative
fast delivery wrongly bought the model it supposed to have hole in the middle anyway ordering new item with the hole in the middle thank you,English,negative
received pero di pala kasya,Filipino,negative
good but some dents i think due to shipment,English,positive
ok naman packaging medjo natagalan sa qc facility july 7 2022 dumating received july 13 2022 anyway thanks to the seller and the courier,English,negative
matagal lang dumating,Filipino,negative
not the same,English,negative
10 days to deliver,English,negative
not for 42t cogs,English,negative
defective,English,negative
worst pa sa worst 1 buwan dumating walang kwenta,Filipino,negative
i dont want this item nakakabanas akala ko legit,Mixed/Other,negative
sira ang pyesa nakaka disappoint,Mixed/Other,negative
1 its take 2 weeks to received it 2 the description of comparability is not true 1142t cogs is not compatible in this a3 ltwoo 8speed shifterrear derailleur you need to use goatlink this a3 8 speed shifter is suites for 14t32t to 36t please seller be honest to your future clients,English,negative
performance unsure yet,English,negative
it took 11 days to arrive but it was a good timing haha,English,positive
the hanger didnt match my bicycle but its still in good condition and in good packaging,English,positive
very good and quality only problem is the delivery took 21 days,English,positive
it took like a weeks to get my order so long,English,negative
the delivery is a little delayed but the item is as shown in the picture they are great they are in the middle of the joke,English,negative
